rownames,gender,ethnicity,score,fcollege,mcollege,home,urban,unemp,wage,distance,tuition,education,income,region
-0.6640499376422482,male,other,-1.3490174377338042,yes,no,yes,yes,-0.5055812859694901,-1.050212867876797,-0.6977712669147057,0.21956092906202535,-1.0104291372918257,high,other
-0.6638819784670491,female,other,-0.23202153257213143,no,no,yes,yes,-0.5055812859694901,-1.050212867876797,-0.6977712669147057,0.21956092906202535,-1.0104291372918257,low,other
-0.66371401929185,male,other,-0.24696046657435802,no,no,yes,yes,-0.5055812859694901,-1.050212867876797,-0.6977712669147057,0.21956092906202535,-1.0104291372918257,low,other
-0.663546060116651,male,afam,-1.205370806656581,no,no,yes,yes,-0.5055812859694901,-1.050212867876797,-0.6977712669147057,0.21956092906202535,-1.0104291372918257,low,other
-0.6633781009414519,female,other,-1.1961776502224974,no,no,no,yes,-0.7226908739029057,-1.050212867876797,-0.610706019800053,0.21956092906202535,-0.45149092302475896,low,other
-0.6632101417662528,male,other,0.4390955453556449,no,no,yes,yes,-0.7226908739029057,-1.050212867876797,-0.610706019800053,0.21956092906202535,-1.0104291372918257,low,other
-0.6630421825910537,female,other,0.5953831501076203,no,no,yes,no,-0.14373191523272236,-0.48434371480047295,-0.610706019800053,0.10389199965400187,-0.45149092302475896,low,other
-0.6628742234158547,female,other,0.4551838978963373,no,no,yes,no,-0.14373191523272236,-0.48434371480047295,-0.610706019800053,0.10389199965400187,0.6663855055093747,low,other
-0.6627062642406556,male,other,1.5917159728393713,yes,no,yes,yes,-0.6141359936645852,-1.050212867876797,0.5211421732298329,0.21956092906202535,-0.45149092302475896,low,other
-0.6625383050654565,female,other,0.5942341699438832,no,no,yes,yes,-0.6141359936645852,-1.050212867876797,0.5211421732298329,0.21956092906202535,0.6663855055093747,low,other
-0.6623703458902575,female,other,-0.996221346878122,no,no,yes,yes,-0.6141359936645852,-1.050212867876797,0.5211421732298329,0.21956092906202535,-1.0104291372918257,high,other
-0.6622023867150583,female,afam,1.1826106480912657,no,yes,yes,yes,-0.6141359936645852,-1.050212867876797,0.5211421732298329,0.21956092906202535,0.1074472912423079,high,other
-0.6620344275398592,male,other,1.0297704222052304,no,no,yes,no,-0.14373191523272236,-0.48434371480047295,-0.741303890472032,0.10389199965400187,0.6663855055093747,low,other
-0.6618664683646601,female,other,0.9056599609093684,yes,no,yes,no,-0.14373191523272236,-0.48434371480047295,-0.741303890472032,0.10389199965400187,1.7842619340435084,high,other
-0.661698509189461,female,afam,0.3253276590323321,yes,yes,yes,no,-0.14373191523272236,-0.48434371480047295,-0.741303890472032,0.10389199965400187,0.1074472912423079,low,other
-0.661530550014262,male,other,1.2216825492792596,no,no,yes,no,-0.14373191523272236,-0.48434371480047295,-0.741303890472032,0.10389199965400187,0.6663855055093747,low,other
-0.6613625908390629,female,other,0.18857578568698918,no,no,yes,no,-0.14373191523272236,-0.48434371480047295,-0.741303890472032,0.10389199965400187,-1.0104291372918257,high,other
-0.6611946316638638,female,other,-0.6756023994785535,no,no,yes,no,-0.14373191523272236,-0.48434371480047295,-0.741303890472032,0.10389199965400187,-1.0104291372918257,low,other
-0.6610266724886648,female,other,0.7838474599409807,no,no,yes,no,-0.14373191523272236,-0.48434371480047295,-0.741303890472032,0.10389199965400187,1.2253237197764415,low,other
-0.6608587133134657,female,other,0.9734611883128069,yes,yes,yes,no,-0.14373191523272236,-0.48434371480047295,-0.741303890472032,0.10389199965400187,1.2253237197764415,high,other
-0.6606907541382666,female,other,0.00470827325803485,no,no,yes,no,0.037192770135661544,-1.8320056833017193,-0.5671733994861597,0.26035567971994633,-0.45149092302475896,low,other
-0.6605227949630675,male,other,0.9964447369601084,yes,no,yes,no,0.037192770135661544,-1.8320056833017193,-0.5671733994861597,0.26035567971994633,0.1074472912423079,high,other
-0.6603548357878685,male,other,0.8700354385873147,yes,yes,yes,no,0.037192770135661544,-1.8320056833017193,-0.5671733994861597,0.26035567971994633,-0.45149092302475896,low,other
-0.6601868766126694,female,other,0.5528638700536863,no,no,no,no,0.037192770135661544,-1.8320056833017193,-0.5671733994861597,0.26035567971994633,1.2253237197764415,low,other
-0.6600189174374703,male,other,1.1400913680373317,no,no,yes,no,0.037192770135661544,-1.8320056833017193,-0.5671733994861597,0.26035567971994633,0.6663855055093747,low,other
-0.6598509582622712,female,afam,-1.182387696384008,no,no,yes,no,-0.795060679032969,-0.48434371480047295,-0.39304291823058707,0.10389199965400187,-1.0104291372918257,low,other
-0.6596829990870722,female,other,-0.10331383549713474,no,no,yes,no,-0.795060679032969,-0.48434371480047295,-0.39304291823058707,0.10389199965400187,-1.0104291372918257,low,other
-0.6595150399118731,male,other,1.011383670962335,no,no,yes,yes,-0.9036155592712896,-0.48434371480047295,-0.5671733994861597,0.10389199965400187,0.6663855055093747,low,other
-0.659347080736674,male,other,1.0849311143086453,no,no,yes,yes,-0.9036155592712896,-0.48434371480047295,-0.5671733994861597,0.10389199965400187,1.2253237197764415,low,other
-0.659179121561475,female,other,1.0630965458250812,yes,no,yes,yes,-0.9036155592712896,-0.48434371480047295,-0.5671733994861597,0.10389199965400187,-1.0104291372918257,high,other
-0.6590111623862759,female,other,2.032998879418319,yes,yes,yes,yes,-0.9036155592712896,-0.48434371480047295,-0.5671733994861597,0.10389199965400187,1.2253237197764415,high,other
-0.6588432032110768,female,other,-0.951403668121985,no,no,yes,yes,-0.9036155592712896,-0.48434371480047295,-0.5671733994861597,0.10389199965400187,-1.0104291372918257,low,other
-0.6586752440358776,male,other,0.8930189872346161,yes,no,yes,yes,-0.9036155592712896,-0.48434371480047295,-0.5671733994861597,0.10389199965400187,1.2253237197764415,high,other
-0.6585072848606786,male,other,0.8332619361015239,no,no,yes,yes,-0.9036155592712896,-0.48434371480047295,-0.5671733994861597,0.10389199965400187,0.1074472912423079,low,other
-0.6583393256854795,female,other,0.9263451108544668,no,no,yes,yes,-0.9036155592712896,-0.48434371480047295,-0.5671733994861597,0.10389199965400187,1.2253237197764415,low,other
-0.6581713665102804,male,other,-0.1745628801412421,no,no,yes,yes,-0.795060679032969,-0.48434371480047295,-0.6977712669147057,0.10389199965400187,1.7842619340435084,low,other
-0.6580034073350813,female,other,-0.41818744370328875,no,yes,no,yes,-0.795060679032969,-0.48434371480047295,-0.6977712669147057,0.10389199965400187,1.2253237197764415,low,other
-0.6578354481598823,male,other,1.1653728770121075,yes,no,no,no,-0.5055812859694901,-1.050212867876797,-0.523640766198534,0.21956092906202535,0.1074472912423079,high,other
-0.6576674889846832,male,other,0.397725245465448,no,no,no,no,-0.5055812859694901,-1.050212867876797,-0.523640766198534,0.21956092906202535,0.6663855055093747,high,other
-0.6574995298094841,female,other,1.9801370243918357,yes,yes,yes,no,-0.5055812859694901,-1.050212867876797,-0.523640766198534,0.21956092906202535,0.6663855055093747,high,other
-0.657331570634285,male,other,2.207672797038461,yes,no,yes,no,-0.5055812859694901,-1.050212867876797,-0.523640766198534,0.21956092906202535,1.7842619340435084,high,other
